TOT CHKOUT,TITLE,AUTHOR,PUBLISHER,CREATED(ITEM),AGE
1,Giant days. Volume seven / created & written by John Allison illustrated by Max Sarin inks by Liz Fleming colors by Whitney Cogar letters by Jim Campbell.,"Allison, John, 1976- author.","Los Angeles, CA : BOOM! Box, 2018.",2020,YA
1,"Gogor / created, written, drawn, colored, lettered by Ken Garing.","Garing, Ken, author.","Portland, OR : Image Comics, 2019.",2020,YA
0,"Giant days. Volume four / created & written by John Allison illustrated by Max Sarin inks by Liz Fleming colors by Whitney Cogar letters by Jim Campbell cover by Lisa Treiman designer, Michelle Ankley associate editor, Jasmine Amiri editor, Shannon Watters.","Allison, John, 1976- author, creator.","Los Angeles, CA : Boom! Box, [2017];""Â©2017""",2020,YA
0,"Ironheart. Vol. 1, Those with courage / Eve L. Ewing, writer Luciano Vecchio, Kevin Libranda, artists Geoffo, additional layouts Matt Milla, colorist.","Ewing, Eve L., author.","New York, NY : Marvel Worldwide, Inc., [2019];""Â©2019""",2020,YA
0,"X-23. [2], X-Assassin / writer, Mariko Tamaki penciler, Diego Olortegui inkers, Walden Wong with JP Mayer, Scott Hanna colorist, Chris O'Halloran letterer, VC's Cory Petit.","Tamaki, Mariko, author.","New York, NY : Marvel Worldwide, Inc., [2019];""Â©2019""",2020,YA
3,"Captain Marvel. Cosmic Cat-tastrophe / Sam Maggs artist, Sweeney Boo colorist, Brittany Peer.","Maggs, Sam, author.","San Diego : IDW Publishing, 2020.",2020,J
3,"Marvel action. Avengers. Volume 3, The Fear eaters / written by Matthew K. Manning art by Marcio Fiorito colors by Protobunker.","Manning, Matthew K., author.","San Diego, CA : IDW Publishing, 2020.",2020,J
3,Marvel action. Spider-Man. Bad luck / written by Delilah S. Dawson art by Fico Ossio colors by Ronda Pattison letters by Shawn Lee.,"Dawson, Delilah S., author.","San Diego, CA : IDW Publishing, 2020",2020,J
2,"Hawkeye. Private eye / writer, Kelly Thompson artists, Leonardo Romero & Michael Walsh color artist, Jordie Bellaire letterer, VC's Joe Sabino.","Thompson, Kelly, 1976- author.","New York, NY : Marvel Worldwide, Inc., [2019];""Â©2019""",2020,J
0,Over the garden wall. Hollow Town / written by Celia Lowenthal illustrated by Jorge Monlongo with color assistance by Kike J. Dâ©¡z letters by Mike Fiorentino created by Pat McHale.,"McHale, Pat, creator.","Los Angeles, California : KaBOOM!, 2019.",2020,J
3,"Ao haru ride. 5 / story and art by Io Sakisaka translation, Emi Louie-Nishikawa touch-up art + lettering, Inori Fukuda Trant.;""Ao haru ride. Volume 5""","Sakisaka, Io, author, artist.","San Francisco, CA : VIZ Media LLC, [2019];""Â©2019""",2020,YA
3,"Ao haru ride. 6 / story and art by Io Sakisaka translation, Emi Louie-Nishikawa touch-up art + lettering, Inori Fukuda Trant.;""Ao haru ride. Volume 6""","Sakisaka, Io, author, illustrator.","San Francisco, CA : VIZ Media, [2019];""Â©2019""",2020,YA
2,"Paper girls. 4 / Brian K. Vaughan, writer Cliff Chiang, artist Matt Wilson, colors Jared K. Fletcher, letters.","Vaughan, Brian K., author.","Portland, OR : Image Comics, [2018]",2020,YA
1,"Doctor Who : the thirteenth doctor. Time out of mind / writer, Jody Houser artists, Roberta Ingranata, Georgia Sposito, Valeria Favoccia colorists, Enrica Eren Angiolini, Tracy Bailey color assistant, Shari Chankhamma letterers, Richard Starkings & Comiccraft's John Roshell, Sarah Jacobs & Sarah Hedrick.","Houser, Jody, author.","London : Titan Comics, 2020.",2020,YA
0,Archie. Volume six / story by Mark Waid & Ian Flynn art by Audrey Mok colors by Kelly Fitzpatrick lettering by Jack Morelli.,"Waid, Mark, 1962- author.","[Mamaroneck, New York] : Archie Comic Publications, [2018]",2020,YA
0,"Doctor Who : the Twelfth Doctor. Vol. 1, Terrorformer / writer, Robbie Morrison artist, Dave Taylor with Mariano Laclaustra colorists, Hi-Fi, Luis Guerrero letters, Richard Starkings and Comicraft's Jimmy Betancourt.","Morrison, Robbie, author.","London : Titan Comics, a division of Titan Publishing Group, 2015.",2020,YA
0,"Batman '66 meets Wonder Woman '77 / written by Marc Andreyko, Jeff Parker pencils by David Hahn inks by Karl Kesel, Bill Williams colors by Madpencil letters by Wes Abbott collection cover art by Alex Ross.","Andreyko, Marc, author.","Burbank, CA : DC Comics, [2017];""Â©2017""",2020,J
19,Superman smashes the Klan : the graphic novel / written by Gene Luen Yang art illustrations by Gurihiru lettering by Janice Chiang.,"Yang, Gene Luen, author.","Burbank : DC Comics, [2020];""Â©2020.""",2020,YA
9,The phantom twin / Lisa Brown.,"Brown, Lisa, 1972- author, illustrator.","New York, NY : First Second, .2020.",2020,YA
7,Poems to see by : a comic artist interprets great poetry / Julian Peters.,"Peters, Julian, illustrator, adapter.","Walden, New York : Plough Publishing House, [2020]",2020,YA
5,"Justice League. Vol. 5, Justice/Doom war / Scott Snyder, James Tynion IV, writers Bruno Redondo, Jorge Jimenez, Francis Manapul, Howard Porter [and others], artists Hi-Fi, Francis Manapul, Alejandro Sanchez, colorists Tom Napolitano, letterer.","Snyder, Scott, author.","Burbank, CA : DC Comics, [2020]",2020,YA
4,A radical shift of gravity / created by Nick Tapalansky [author] & Kate Glasheen [artist].,"Tapalansky, Nick, 1983- author.","Marietta, GA : Top Shelf Productions, an imprint of IDW Publishing, [2020]",2020,YA
4,"Beastars. Volume 2 / story & art by Paru Itagaki translation, Tomoko Kimura English adaptation, Annette Roman touch-up art & lettering Susan Daigle-Leach.","Itagaki, Paru, 1993- author, artist.","San Francisco, CA : VIZ Media, LLC, [2019];""Â©2019""",2020,YA
4,Nils : the tree of life / Jerome Hamon design and artwork by Antoine Carrion translation by Jeremy Melloul.,"Hamon, JÃ©rÃ´me, 1977- author.","Burbank : Magnetic Press, 2020.",2020,YA
3,A quick & easy guide to sex & disability / A. Andrews.,"Andrews, A., author.","Portland, OR : Limerence Press, 2020.",2020,YA
3,Fights : one boy's triumph over violence / words and pictures Joel Christian Gill colors Shannon Scott production assistance Jade Rodriguez.,"Gill, Joel Christian, author.","Portland, OR : Oni Press, 2020.",2020,YA
3,"Friendly neighborhood Spider-Man. Vol. 2, Hostile takeovers / Tom Taylor, writer Ken Lashley (#7-10, 13-14) Juann Cabal (#9, #11), Scott Hanna (#10), Luca Maresca (#10, pages 18-20), Pere Perez (#12), Todd Nauck (#13), Ig Guara (#13), Dike Ruan (#13), and Marguerite Sauvage (#14 flashback), artists Scott Hanna (Finishes, #8, page 15) and Jay Leisten (#12), inkers Nolan Woodard (#7-9), Marcio Menyz (#9), Rachelle Rosenberg (#11-14) and Marguerite Sauvage (#14 flashback), color artists VC's Travis Lanham, letterer.","Taylor, Tom, 1978- writer.","New York, NY : Marvel Worldwide, Inc., [2019]",2020,YA
3,"Paper girls. 5 / Brian K. Vaughan, writer Cliff Chiang, artist Matt Wilson, colors Jared K. Fletcher, letters.","Vaughan, Brian K., author.","Portland, OR : Image Comics, [2018];""Â©2018""",2020,YA
3,"Pierce Brown's red rising. Sons of Ares. Volume 2, Wrath / story by Pierce Brown script by Rik Hoskin art by Eli Powell color by Dee Cunniffe letters by Tom Napolitano.","Hoskin, Rik, author.","Mt. Laurel, NJ : Dynamite Entertainment, [2019]",2020,YA
3,"Star Wars. Target Vader / writer, Robbie Thompson artists, Marc Laming (#1), Cris Bolson (#1, #5), Stefano Landini (#2-4, #6), Marco Failla (#5), Roberto Di Salvo (#5-6), & Georges Duarte (#6) color artists, Neeraj Menon (#1-4, #6) & Rachelle Rosenberg (#5-6) with Jordan Boyd (#1), Andres Mossa (#1), Federico Blee (#1, #4), Erick Arciniega (#1), & Giada Marchisio (#4) letterers, VC's Clayton Cowles (#1) & Joe Caramagna (#2-6) cover art, Nic Klein.","Thompson, Robbie, author.","New York : Marvel Worldwide, Inc., a subsidiary of Marvel Entertainment, LLC, [2020];""Â©2020""",2020,YA
3,"The unbeatable Squirrel Girl. 8, My best friend's squirrel / Ryan North, writer Erica Henderson, artist Rico Renzi, color artist VC's Travis Lanham, letterer Erica Henderson, cover art.","North, Ryan, 1980- author.","New York, NY : Marvel Worldwide, Inc., a subsidiary of Marvel Entertainment, LLC, [2018]",2020,YA
2,"Beastars. Volume 1 / story & art by Paru Itagaki translation, Tomoko Kimura English adaptation & lettering, Susan Daigle-Leach.","Itagaki, Paru, 1993- author, artist.","San Francisco : VIZ Media LLC, 2019.",2020,YA
2,DeadEndia. The broken halo / Hamish Steele.,"Steele, Hamish, author, artist.","London : Nobrow, 2019.",2020,YA
2,Haphaven / created by Norm Harper & Louie Joyce lettered by Oceano Ransford.,"Harper, Norm, creator.","[St. Louis, Missouri] : Lion Forge LLC 2019.",2020,YA
2,"Star Wars. Vol. 13, Rogues and rebels / writer, Greg Pak [and others] artist, Phil Noto [and others] letterer, VC's Clayton Cowles [and others].","Pak, Greg, author.","New York, NY : Marvel Worldwide Inc., [2020]",2020,YA
2,"The Flash. Vol. 12, Death and the speed force / Joshua Williamson, writer Rafa Sandoval, Scott Kolins, pencillers Jordi Tarragona, Scott Kolins, inkers Tomeu Morey, Arif Prianto, Luis Guerrero, colorists Steve Wands, letterer.","Williamson, Joshua, author.","Burbank, CA : DC Comics, [2020]",2020,YA
2,"Wonder Woman : tempest tossed / Laurie Halse Anderson, writer Leila del Duca, artist Kelly Fitzpatrick, colorist Saida Temofonte, letterer.","Anderson, Laurie Halse, author.","Burbank, CA : DC Comics, [2020]",2020,YA
1,"Lost soul, be at peace / Maggie Thrash.","Thrash, Maggie, author, illustrator.","Somervillle, MA : Candelwick Press, 2020.;""Â©2018.""",2020,YA
0,"Outpost Zero. 1, the smallest town in the universe / Sean Keley McKeever, creator/writer Alexandre Tefenkgi, creator/artist Jean-Francois Beaulieu, colorist Ariana Maher, letterer.","McKeever, Sean, author.","Portland, OR : Image Comics, Inc., [2018];""Â©2018""",2020,YA
0,"Outpost Zero. 2, Follow it down / Sean Kelly McKeever, creator/writer Alexandre Tefenkgi, creator/artist Jean-Francois Beaulieu, colorist Ariana Maher, letterer.","McKeever, Sean, author.","Portland, OR : Image Comics, Inc., [2019];""Â©2019""",2020,YA
0,"Sleepless. Volume 1 / Sarah Vaughn, writer Leila del Duca, artist Alissa Sallah, editor and colors Deron Bennett, letters Gabe Fischer, color flats.","Vaughn, Sarah, author.","Portland, Oregon : Image Comics, Inc., [2018];""Â©2018""",2020,YA
12,The dark matter of Mona Starr / Laura Lee Gulledge.,"Gulledge, Laura Lee, author.","New York : Amulet Books, of Abrams, 2020.",2020,YA
8,"Critical role : Vox Machina origins. Vol. 1 / story, Matthew Colville & Matthew Mercer script, Matthew Colville art, Olivia Samson layouts, Chris Kawagiwa colors and lettering, Chris Northrop color assistants, Travis Ames and Cassie Anderson cover art, Stjepan Sejic.","Colville, Matthew, author.","Milwaukie, OR : Dark Horse Books, 2019.",2020,YA
5,"Batman. Vol. 12, City of Bane. Part 1 / Tom King, writer Clay Mann, Tony S. Daniel, Mikel JanÃ­n, Mitch Gerads, Sandu Florea, Norm Rapmund, Seth Mann, artists Tomeu Morey, Jordie Bellaire, Mitch Gerads, colorists Clayton Cowles, letterer Tony S. Daniel and Tomeu Morey, collection cover artists.","King, Tom, 1978- writer.","Burbank, CA : DC Comics, [2020]",2020,YA
5,"Doomsday clock. Part 2 / Geoff Johns, writer Gary Frank, illustrator Brad Anderson, colorist Rob Leigh, letterer Gary Frank and Brad Anderson, collection cover artists.","Johns, Geoff, 1973-","Burbank, CA : DC Comics, 2020.",2020,YA
5,X-Men. Vol. 1 / writer: Jonathan Hickman pencilers: Leinil Francis Yu [and 2 others] inkers: Gerry Alanguilan [and 3 others] color artists: Sunny Gho [and 2 others] letterer: VC's Clayton Cowles.,"Hickman, Jonathan, author.","New York, NY : Marvel Worldwide, Inc., [2020]",2020,YA
4,"Conan the Barbarian. Vol. 2. The life and death of Conan. Book two / Jason Aaron, writer Mahmud Asrar & Gerardo Zaffino with Garry Brown, artists Matthew Wilson, color artist VC's Travis Lanham, letterer Esad Ribic.","Aaron, Jason, author.","New York, NY : Marvel Worldwide, Inc., a subsidiary of Marvel Entertainment, LLC, [2020]",2020,YA
3,"Fantastic Four. Vol. 3, The herald of Doom / Dan Slott, writer Aaron Kuder [and 8 others], artists Marte Gracia [and 4 others], color artists VC's Joe Caramagna, letterer.","Slott, Dan, author.","New York, New York : Marvel Worldwide, Inc., 2019.",2020,YA
3,"Ms. Marvel. Team-up / (issues #1-3), writer, Eve L. Ewing artists, Joey Vazquez with Moy R. (#3) colorist, Felipe Sobreiro (issues #4-6), writer, Clint McElroy artist, Ig Guara color artist, Felipe Sobreiro letterer, VC's Clayton Cowles.","Ewing, Eve L., author.","New York, NY : Marvel Worldwide, Inc., a subsidiary of Marvel Entertainment, LLC, [2019]",2020,YA
3,"The Avengers. Vol. 3, War of the vampires / Jason Aaron, writer.","Aaron, Jason, author.","New York, NY : Marvel Worldwide Inc., a subsidiary of Marvel Entertainment, LLC, [2019]",2020,YA
3,"The wicked + the divine. Vol. 1, The Faust act / Kieron Gillen, writer Jamie McKelvie, artist Matthew Wilson, colourist Clayton Cowles, letterer.","Gillen, Kieron, author.","Berkeley, CA : Image Comics, Inc., [2014];""Â©2014""",2020,YA
2,"Doctor Who. Supremacy of the Cybermen. [1] / writers, Cavan Scott & George Mann artists, Ivan Rodriguez & Walter Geovanni with Alessandro Vitti & Tazio Bettin colorist, Nicola Righi with Enrica Eren Angiolini letters, Richard Starkings & Comicraft's Jimmy Betancourt.","Scott, Cavan, author.","London : Titan Comics, 2017.",2020,YA
2,"Doctor Who. The lost dimension. Book one / writers: George Mann, Cavan Scott & Nick Abadzis artists: Rachael Stott [and six others] colorists: Rod Fernandes [and four others] letters: Richard Starkings and Comicraft's Jimmy Betancourt.","Mann, George, author.","London Titan Comics, 2018.",2020,YA
2,"The Terrifics. Vol. 3, The god game / artists, Stephen Segovia, Joe Bennett, Evan 'Doc' Shaner [and others] writers, Gene Luen Yang, Mark Russell, James Asmus colorists, Protobunker, Hi-Fi, Nathan Fairbairn letterer, Tom Napolitano collection cover artist, Evan 'Doc' Shaner.","Yang, Gene Luen, writer.","Burbank, CA : DC Comics, [2020]",2020,YA
2,"Uncanny X-Men : Wolverine and Cyclops. Volume 2 / writer, Matthew Rosenberg artists, Carlos Gomez, Salvador Roca with David Messina pencilers, Carlos Villa with Carlos Gomez & Bob Quinn inkers, Juan Vlasco [and 5 others] color artist, Guru-efx letterer, VC's Joe Caramagna cover art, Whilce Portacio & Erick Arciniega.","Rosenberg, Matthew (Graphic novelist), author.","New York, NY : Marvel Worldwide, Inc., 2019.",2020,YA
1,"Skyward. Volume three, 'Fix the world' / writer, Joe Henderson art & cover, Lee Garbett colorist, Antonio Fabela letterer, Simon Bowland.","Henderson, Joe (Joseph H.), 1979- author.","Portland, OR : Image Comics, [2019];""Â©2019""",2020,YA
1,"The wicked + the divine. Vol. 3, Commercial suicide / Kieron Gillen, writer Kate Brown, issue 12 artist Tula Lotay, issue 13 artist Jamie McKelvie, issue 14 artist Matthew Wilson, issue 14 colourist Stephanie Hans, issue 15 artist Leila del Duca, issue 16 artist Mat Lopes, issue 16 colourist Brandon Graham, issue 17 artist Clayton Cowles, letterer (excepting issue 17).","Gillen, Kieron, author.","Berkeley, CA : Image Comics, Inc., [2016];""Â©2016""",2020,YA
0,"Iceman. Vol. 3, Amazing friends / writer, Sina Grace artist, Nathan Stockman color artists, Federico Blee & Andres Mossa letterer, VC's Joe Sabino.","Grace, Sina, author.","New York, NY : Marvel Worldwide, Inc., [2019];""Â©2019""",2020,YA
0,"Misfits of Avalon. 1, The queen of air and delinquency / written & illustrated by Kel McDonald.","McDonald, Kel, author, artist.","Milwaukie, OR : Dark Horse Books, 2014.;""Â©2014""",2020,YA
0,"Submerged. [1]/ writer, Vita Ayala illustrator, Lisa Sterle colorist, Stelladia letterer, Rachel Deering.","Ayala, Vita, author.","[Bethesda, Md.] : Vault Comics, [2018];""Â©2018""",2020,YA
19,Something is killing the children. Volume 1 / written by James Tynion IV illustrated by Werther Dell'Edera colored by Miquel Muerto lettered by AndWorld Design.,"Tynion, James, IV, author.","Los Angeles, CA : BOOM! Studios, [2020]",2020,YA
16,"Dawn of X. Volume 01 / writers: Jonathan Hickman, Gerry Duggan, Tini Howard, Ed Brisson, Benjamin Percy & Bryan Hill artists: Leinil Francis Yu & Gerry Alanguilan [and 5 others] color artists, Sunny Gho [and 5 others] letterers: VC's Clayton Cowles [and 4 others]","Hickman, Jonathan, author.","New York, NY : Marvel Worldwide, Inc., [2019]",2020,YA
5,"Gotham Academy : Second semester. Volume 2, The ballad of Olive Silverlock / written by Brenden Fletcher, Becky Cloonan, Karl Kerschl pencils by Adam Archer inks by Sandra Hope background painting and color by Msassyk breakdowns by Rob Haynes 'The Carnival Midnight' art by Jon Lam letters by Steve Wands collection cover art by Karl Kerschl.","Fletcher, Brenden, author.","Burbank, CA : DC Comics, [2017]",2020,YA
4,"King Thor / Jason Aaron, writer Esad Ribic, artist Ive Svorcina, color artist Das Pastoras [and otheres], additional art VC's Joe Sabino, letterer.","Aaron, Jason, author.","New York, NY : Marvel Worldwide, Inc., 2020.",2020,YA
3,"Superman. Vol. 2, The unity saga : the house of El / Brian Michael Bendis, writer Ivan Reis, Brandon Peterson, Jason Fabok, Evan Doc Shaner, pencillers Brandon Peterson, Joe Prado, Oclair Albert, Jason Fabok, inkers Alex Sinclair, colorist Josh Reed [and others], letterers Ivan Reis, Joe Prado & Alex Sinclair, collection cover artists.","Bendis, Brian Michael, author.","Burbank, CA : DC Comics, [2019]",2020,YA
2,"Trees. Volume 3, Three fates / Warren Ellis, writer Jason Howard, artist Dee Cunniffe, flats Fonographiks, lettering & book design.","Ellis, Warren, author.","Portland, Oregon : Image Comics, 2020.",2020,YA
1,"Beyonders. The mapmakers. Volume 1 / Paul Jenkins, creator & writer Wesley St. Claire, artist Marshall Dillon, letterer Mike Marts, editor.","Jenkins, Paul, 1965- author.","Sherman Oaks, CA : AfterShock Comics, 2018.",2020,YA
1,"Jim Henson's : The power of the dark crystal. Vol. 3 / written by Simon Spurrier and Phillip Kennedy Johnson illustrated by Kelly and Nichole Matthews lettered by Jim Campbell created by Jim Henson chapter break art, Sana Takeda.","Spurrier, Simon, author.","Los Angeles, CA : Archaia, 2020.",2020,YA
1,"Misfits of Avalon. 2, The ill-made guardian / written & illustrated by Kel McDonald.","McDonald, Kel, author, illustrator.","Milwaukie, OR : Dark Horse Books, a division of Dark Horse Comics, 2016.",2020,YA
1,Sparrowhawk / written & created by Delilah S. Dawson illustrated by Matias Basla colored by Rebecca Nalty lettered by Jim Campbell.,"Dawson, Delilah S., author.","Los Angeles, CA : BOOM! Studios, 2019.",2020,YA
1,"The amazing Spider-Man. Edge of Spider-Man / writers, David Hine [and six others].","Hine, David, author.","New York, NY : Marvel Worldwide, Inc., a subsidiary of Marvel Entertainment LLC, [2015];""Â©2015""",2020,YA
0,Kairos / Ulysse Malassagne English translation by Anne and Owen Smith.,"Malassagne, Ulysse, author.","New York : First Second, 2020.",2020,YA
0,Low road west / written by Philip Kennedy Johnson illustrated by Flaviano colored by Miquel Muerto lettered by Jim Campbell cover by Flaviano.,"Johnson, Phillip Kennedy, 1970- author.","Los Angeles, CA, Boom! Studios, 2019.",2020,YA
0,"Misfits of Avalon. 3, The future in the wind / written & illustrated by Kel McDonald.","McDonald, Kel, author, illustrator.","Milwaukie, OR : Dark Horse Books, 2017.",2020,YA
0,"Smooth criminals. [Volume 1], Stealing time / [created & written by Kurt Lustgarten & Kirsten 'Kiwi' Smith illustrated by Leisha Riddel colored by Brittany Peer with Joana Lafuente on Chapeter 2 lettered by Ed Dukeshire].","Lustgarten, Kurt, author.","Los Angeles : BOOM! Box, 2019.;""Â©2019""",2020,YA
13,"The case of the bizarre bouquets / Serena Blasco translation, Jeremy Melloul and Dean Mullaney.","Blasco, Serena, author, illustrator.","San Diego, CA : EuroComics, an imprint of IDW Publishing, [2020].;""Â©2020.""",2020,YA
12,Witchlight / Jessi Zabarsky with coloring by Geov Chouteau.,"Zabarsky, Jessi, 1988-, author, artist.","New York : RH Graphic, [2020];""Â©2020.""",2020,YA
5,"The case of the left-handed lady / Serena Blasco translation, Jeremy Melloul and Dean Mullaney.","Blasco, Serena, author, illustrator.","San Diego, CA : IDW Publishing, [2019];""Â©2019.""",2020,YA
5,"The case of the missing marquess / Serena Blasco translation, Jeremy Melloul and Dean Mullaney.","Blasco, Serena, author, illustrator.","San Diego, CA : EuroComics, an imprint of IDW Publishing, [2018];""Â©2018""",2020,YA
5,"The true lives of the fabulous Killjoys / script, Gerard Way & Shaun Simon art, Becky Cloonan colors, Dan Jackson letters, Nate Piekos of Blambot.","Way, Gerard, author.","Milwaukie, OR : Dark Horse Books, 2014.",2020,YA
4,ApocalyptiGirl : an Aria for the end times / by Andrew MacLean.,"MacLean, Andrew (Andrew Ross), writer, illustrator.","Milwaukie, OR : Dark Horse Books, [2020];""Â©2020""",2020,YA
4,"Meg, Jo, Beth, and Amy : a graphic novel / story by Rey Terciero pencils by Bre Indigo inks by Gabrielle Rose Camacho, Johana Avalos Merino, and Joanne Kwan colors by Ryan Thompson lettering by A Larger World.","Terciero, Rey, author.","New York : Little, Brown and Company, 2019.",2020,YA
3,Lifeformed : Hearts and minds / written by Matt Mair Lowery art and lettering by Cassie Anderson.,"Mair Lowery, Matt, writer.","Milwaukie, OR : Dark Horse Books, 2019.",2020,YA
3,My boyfriend is a bear / written by Pamela Ribon illustrated and colored by Cat Farris lettered by Saida Temofonte color assists by Caitlin Like [and four others].,"Ribon, Pamela, author.","Portland, OR : Oni Press, 2018.",2020,YA
3,"Witchy, [1] / Ariel Slamet Ries edited by Hazel Newlevant and Steenz lettered by Andworld Design designed by Leigh Luna.","Ries, Ariel Slamet, author.","[St. Louis, Missouri] : The Lion Forge, LLC., [2019];""Â©2019""",2020,YA
3,Woman world / Aminder Dhaliwal color by Nikolas Ilic.,"Dhaliwal, Aminder, 1988-, author.","[Montreal, Quebec] : Drawn & Quarterly, 2018.",2020,YA
1,"The Flutter collection / written and created by Jennie Wood art by Jeff McComsey colors by Chris Goodwin, Jeff McComsey letters by Jeff McClelland, Jeff McComsey.","Wood, Jennie, author.","Milwaukee, Oregon : Dark Horse Books, a division of Dark Horse Comics, Inc., 2018.",2020,YA
1,"What's Michael? Fatcat collection. Volume 1 / art and story, Makoto Kobayashi translation and adaptation, Alan Gleason [and 6 others] lettering and retouch, L. Lois Buhalis [and 4 others].","Kobayashi, Makoto, 1958-","Milwaukie, OR : Dark Horse Comics, 2020.",2020,YA
0,"Last pick. [2], Born to run / Jason Walz color by Jon Proctor.","Walz, Jason, author, artist.","New York : First Second, 2019.",2020,YA
0,Mechaboys / James Kochalka.,"Kochalka, James, author, illustrator.","Marietta, GA : Top Shelf Productions, [2018];""Â©2018""",2020,YA
0,"The wicked + the divine. Vol. 2, Fandemonium / Kieren Gillen, writer Jamie McKelvie, artist.","Gillen, Kieron, author.","Berkeley, CA : Image Comics, Inc., [2015];""Â©2015""",2020,YA
0,"X-23. [1], Family album / writer, Mariko Tamaki artists, Juann Cabal, Marcio Fiorito, Georges Duarte color artists, Nolan Woodard, Chris O'Halloran letterer, VC's Cory Petit.","Tamaki, Mariko, author.","New York, NY : Marvel Worldwide, LLC, a subsidiary of Marvel Entertainment, Inc., [2019];""Â©2019""",2020,YA
14,She-Ra and the princesses of power. Legend of the fire princess / by Gigi D. G. illustrations by Paulina Ganucheau colors by Eva De La Cruz letters by Betsy Peterschmidt.,"Gigi D. G. (Artist), author, artist.","New York, NY : Graphix, an imprint of Scholastic, [2020]",2020,J
8,Garfield cleans his plate / by Jim Davis.,"Davis, Jim, 1945 July 28- author, illustrator.","New York : Ballantine Books, 2015.",2020,J
8,"Ultimate Spider-Man : Web-warriors. Spider-verse. #1/ illustrated by Joe Caramagna Danielle Wolff, Paul Dini, Kevin Burke, Eugene Son, Chris Wyatt, authors.","Caramagna, Joe, illustrator.","Minneapolis, Minnesota : Spotlight, a division of ABDO, [2020].",2020,J
8,"Zatanna and the house of secrets / author, Matthew Cody artist, Yoshi Yoshitani letterer, Ariana Maher.","Cody, Matthew, author.","Burbank, CA : DC Comics, [2020]",2020,J
6,The big break / Mark Tatulli.,"Tatulli, Mark, author, illustrator.","New York : Little, Brown and Company, 2020.",2020,J
5,Vikings : Scandinavia's ferocious sea raiders / by Nel Yomtov illustrated by Silvio dB.,"Yomtov, Nel, author.","North Mankato, Minnesota : Capstone Press, [2019]",2020,J
1,Magic-ring story. Monster mayhem / a Christopher Eliopoulos production colored by Rebecca Nalty.,"Eliopoulos, Chris, 1983- author, artist.","New York : Dial Books for Young Readers, [2020];""Â©2020.""",2020,J
0,Fun Fun Fun World / written and illustrated by Yehudi Mercado with additional art assistance by Sophia Hoodis.,"Mercado, Yehudi, author, artist.","Portland, OR : Oni Press, Inc., 2020.",2020,J
0,"The only living girl. Volume 2, Beneath the unseen city / writer/co-creator: David Gallaher artist/co-creator: Steve Ellis colors: Steve Ellis color flatting: Sarah Elkins [and two others] color corrections: Sarah Elkins lettering: Nate Pride.","Gallaher, David, 1975- author, creator.","New York : Papercutz, [2020]",2020,J
26,"Owly. [1], The way home / Andy Runton.","Runton, Andy, author, artist.","New York, NY : Graphix, an imprint of Scholastic Press, 2020.",2020,J
18,Catherine's war / Julia Billet   Claire Fauvel   translation by Ivanka Hahnenberger.,"Billet, Julia, author.","New York, NY : Harper Alley, an imprint of HarperCollinsPublishers, 2020.",2020,J
10,"Wake up, Sleeping Beauty. 1 / Megumi Morino   translation, Alethea and Athena Nibley   lettering, Lys Blakeslee.","Morino, Megumi, author, artist.","New York : Kodansha Comics, 2017.",2020,YA
6,"Ouran High School Host Club. 13 / Bisco Hatori   [translation & English adaptation, Masumi Matsumoto].","Hatori, Bisco, author.","San Francisco, Calif. : Viz Media, [2009]",2020,YA
6,That wolf-boy is mine! Vol. 2 / Yoko Nogiri   translation Alethea and Athena Nibley.,"Nogiri, Yoko, author, illustrator.","New York : Kodansha Comics, and imprint of Kodansha US Publishing, LLC, [2016];""Â©2016.""",2020,YA
5,"Otome mania!!. Vol. 2 / story & art, Tsukigase Yurino   translation, Angela Liu   adaptation, Rebecca Scoble.","Yurino, Tsukigase, author, artist.","[Los Angeles, California] : Seven Seas Entertainment, [2017]",2020,YA
5,"Ouran High School Host Club. 12 / [story and art by] Bisco Hatori   [translation, Masumi Matsumoto].","Hatori, Bisco, author.","San Francisco, CA : VIZ Media, [2009]",2020,YA
5,"Ouran High School Host Club. 14 / [story and art by] Bisco Hatori   [translation, Su Mon Han].","Hatori, Bisco, author.","San Francisco : Viz, 2010.;""Â©2009.""",2020,YA
5,"Ouran High School Host Club. 15 / [story and art by] Bisco Hatori   [translation, Su Mon Han].","Hatori, Bisco, author.","San Francisco, Calif. : Viz Media, 2010.;""Â©2009.""",2020,YA
5,"Ouran High School host club. 8 / Bisco Hatori   [translation, RyoRca   English adaptation, John Werry,   touch-up art & lettering, George Caltsoudas].","Hatori, Bisco, author, artist.","San Francisco : VIZ Media, 2007.",2020,YA
5,"Wake up, Sleeping Beauty. 2 / Megumi Morino   translation, Alethea and Athena Nibley   lettering, Lys Blakeslee.","Morino, Megumi, author, artist.","New York : Kodansha Comics, 2018.",2020,YA
5,"Wake up, Sleeping Beauty. 3 / Megumi Morino   translation, Alethea and Athena Nibley   lettering, Lys Blakeslee.","Morino, Megumi, author, artist.","New York : Kodansha Comics, 2018.",2020,YA
5,"Wake up, Sleeping Beauty. 4 / Megumi Morino   translation, Alethea and Athena Nibley   lettering, Lys Blakeslee.","Morino, Megumi, author, artist.","New York : Kodansha Comics, 2018.",2020,YA
